frame,cpu_ms,gpu_ms
265,3.0307,2.9959
266,2.1487,2.6972
267,1.9598,2.6600
268,2.2392,2.9264
269,1.9573,3.6324
270,1.9149,3.5149
271,2.2944,3.3949
272,2.6340,2.7628
273,2.2991,2.9773
274,2.4938,2.6866
275,1.6210,2.6452
276,2.2555,3.1009
277,1.9641,5.2877
278,1.9398,3.1135
279,2.3948,2.6913
280,4.1164,2.8463
281,1.2877,3.0961
282,1.9578,2.6991
283,2.0998,3.8995
284,2.2150,4.1241
285,1.9725,3.5137
286,3.1572,2.7728
287,2.1530,3.2786
288,2.4808,3.1910
289,1.9287,2.7306
290,2.5515,2.6543
291,1.8454,4.2973
292,1.9367,4.2049
293,1.8923,3.1625
294,3.6475,2.6826
295,1.8111,2.9518
296,2.3503,3.2578
297,1.9054,2.7113
298,2.2056,3.2046
299,2.2991,4.2996
300,1.9897,4.2984
301,2.4605,2.8174
302,3.0523,2.6966
303,2.4208,2.9217
304,1.4766,2.8944
305,2.0435,2.6897
306,2.0910,3.0934
307,2.2456,3.5069
308,1.9891,3.4366
309,2.5833,3.2751
310,2.2745,3.0679
311,2.2075,3.1444
312,2.4269,2.6249
313,2.0047,3.1489
314,2.1226,3.6591
315,1.8830,3.5242
316,2.5309,3.2310
317,2.4242,3.0931
318,2.3469,3.0519
319,2.3935,2.6407
320,2.1057,2.6927
321,1.9488,4.4404
322,1.9058,5.5335
323,1.9861,3.1482
324,3.7420,2.7072
325,3.0211,3.0275
326,1.3262,2.6723
327,1.9607,2.6606
328,2.2969,3.0845
329,1.8886,3.8135
330,1.9207,3.6623
331,2.4105,3.3778
332,2.7160,3.0860
333,2.4728,3.5061
334,2.2597,2.9444
335,1.9782,3.2904
336,2.7706,5.1253
337,1.4873,3.2344
338,2.5983,2.6408
339,3.8108,2.7201
340,1.2932,3.0113
341,1.9364,3.4610
342,2.0193,2.6477
343,2.2295,3.1569
344,2.4477,3.6280
345,1.9126,4.3519
346,2.5119,3.1843
347,2.3955,3.0650
348,3.1708,2.6862
349,1.4337,2.6955
350,2.3049,2.9347
351,1.9587,4.6914
352,1.9661,2.9933
353,2.2089,2.7145
354,3.6929,2.9660
355,1.9014,2.6802
356,2.0067,2.6745
357,2.1790,2.6505
358,1.9677,3.8941
359,1.9303,3.5248
360,1.9064,2.6319
361,3.2183,2.9759
362,2.5588,3.0857
363,1.9453,2.6378
364,2.2626,2.6454
365,2.0768,4.3069
366,1.9444,4.2002
367,1.9312,2.7892
368,3.6187,2.7010
369,2.4106,2.9830
370,1.5685,2.6576
371,2.0148,2.6191
372,2.2357,3.2785
373,1.8972,4.7413
374,1.9750,4.4447
375,2.5780,2.9061
376,3.3562,2.9609
377,2.0775,2.6842
378,1.8694,2.6714
379,2.2274,2.6977
380,1.9630,5.0274
381,1.9468,4.2035
382,1.9716,2.6710
383,4.3027,2.9694
384,1.9470,3.0144
385,1.8465,2.6820
386,2.2252,2.6636
387,1.9825,3.0809
388,1.9773,4.4343
389,1.9216,4.1682
390,2.3997,2.9178
391,3.2689,2.8545
392,2.1899,3.9078
393,1.9048,3.0041
394,2.0596,3.4217
395,3.0205,4.3839
396,1.4678,4.4487
397,2.7490,2.9291
398,2.9505,2.6902
399,2.6395,3.1713
400,1.6782,2.6834
401,1.9533,3.0549
402,2.4225,4.2220
403,1.9724,4.1258
404,2.3434,2.7807
405,3.1075,2.9171
406,2.3982,2.9011
407,1.8119,2.6727
408,2.1657,2.6464
409,2.2560,3.6310
410,1.9416,4.4354
411,1.9289,2.8085
412,2.9327,2.6605
413,3.3002,2.9586
414,1.5706,2.6606
