frame,cpu_ms,gpu_ms
265,16.6606,0.8263
266,16.6805,0.8257
267,16.6586,0.8368
268,16.7063,0.9150
269,16.6559,0.8990
270,16.7482,0.8678
271,16.6387,0.8180
272,16.6718,0.8282
273,16.6897,0.8382
274,17.1975,0.9015
275,16.1605,0.8515
276,16.6741,0.8205
277,16.7031,0.8362
278,16.6525,0.8414
279,16.6932,0.8215
280,16.6765,0.8264
281,16.7026,0.8345
282,17.0462,1.0962
283,16.3733,0.8619
284,16.6283,0.8344
285,16.6455,0.9151
286,16.6873,0.9381
287,16.6709,0.8978
288,16.6823,0.8390
289,16.6889,0.8304
290,16.6637,0.8102
291,16.6936,0.8338
292,16.6740,0.8506
293,16.7314,0.8492
294,16.6324,0.8410
295,16.6839,0.8552
296,16.6938,0.8543
297,16.6669,0.8261
298,16.6638,0.8485
299,16.6983,0.8428
300,16.6705,0.8319
301,16.7014,0.8489
302,16.6574,0.8466
303,16.6953,0.8470
304,16.6731,0.8095
305,16.6850,0.8393
306,16.6713,0.8266
307,16.6773,0.8601
308,16.6873,0.8611
309,16.6740,0.8615
310,16.6770,0.8456
311,16.6811,0.8606
312,16.6799,0.8273
313,16.6840,0.7997
314,16.6799,0.7981
315,16.6833,0.8204
316,16.6802,0.8131
317,16.6895,0.8429
318,16.6728,0.8518
319,16.6954,0.8495
320,16.6712,0.8520
321,16.6838,0.8464
322,16.6796,0.8428
323,16.6855,0.8396
324,16.6785,0.8110
325,16.6840,0.8335
326,16.6633,0.8874
327,16.7016,0.8223
328,16.6563,0.8880
329,16.6928,0.8416
330,16.6677,0.8257
331,16.6828,0.8256
332,16.6747,0.8258
333,16.6918,0.8126
334,16.6774,0.8728
335,16.6707,0.8454
336,16.6828,0.8478
337,16.6805,0.8488
338,16.6746,0.8430
339,16.6864,0.8775
340,16.7283,0.8262
341,16.6477,0.8537
342,16.6778,0.8846
343,16.6953,0.8460
344,16.6752,0.8311
345,16.7007,0.8452
346,16.6331,0.8921
347,16.6883,0.8382
348,16.7012,1.0148
349,16.6685,0.8320
350,16.6672,0.8379
351,16.7317,0.8279
352,16.6467,0.8383
353,16.6641,0.8341
354,16.6883,0.8541
355,16.6790,0.8477
356,16.6748,0.8555
357,16.6778,0.8507
358,16.6876,0.8478
359,16.6675,0.8541
360,16.6970,0.8489
361,16.6919,0.8480
362,16.6580,0.8327
363,16.6903,0.8383
364,16.6651,0.8465
365,16.7019,0.8492
366,16.7132,0.8559
367,16.6356,0.8516
368,16.6873,1.2135
369,16.6812,0.8432
370,16.7300,0.8380
371,16.6238,0.8471
372,16.6817,0.8380
373,16.6726,0.8402
374,16.6973,0.8376
375,16.6677,0.8512
376,16.6910,0.8438
377,16.6776,0.8343
378,16.6778,0.8299
379,16.6750,0.8223
380,16.6936,0.8620
381,16.6682,0.8591
382,16.6829,0.8907
383,16.6846,0.8376
384,16.6889,0.8516
385,16.6624,0.8192
386,16.6907,0.8356
387,16.6735,0.8544
388,16.6744,0.8675
389,16.6949,0.8265
390,16.6736,0.8508
391,16.6752,0.8580
392,16.6850,0.8582
393,16.6773,0.8521
394,16.6786,0.8470
395,16.6860,0.8479
396,16.6738,0.8509
397,16.6863,0.8372
398,16.6912,0.8249
399,16.6628,0.8148
400,16.6891,0.8281
401,16.6802,0.8387
402,16.6803,0.8742
403,16.6831,0.8532
404,16.6921,0.8487
405,16.6616,0.8598
406,16.6875,0.8611
407,16.6811,0.8516
408,16.6760,0.8598
409,16.6779,0.8440
410,16.6897,0.8401
411,16.6643,0.8414
412,16.6862,0.8478
413,16.7343,0.8519
414,16.6353,0.8538
415,16.6808,0.8203
416,16.6695,0.8585
417,16.7337,0.8688
418,16.6662,0.8556
419,16.8280,0.8409
420,16.4913,0.8239
421,16.7286,0.8673
422,16.6465,0.8542
423,16.7307,0.8409
424,16.8166,0.8631
425,16.4797,0.8794
426,16.6838,0.8644
427,16.6731,0.8551
428,16.6893,0.8724
429,16.6883,0.8743
430,16.6725,0.8525
431,16.6785,0.8623
432,16.6832,0.8810
433,16.6746,0.8601
434,16.6924,0.8675
435,16.6846,0.8580
436,16.6971,1.0985
437,16.6683,0.8473
438,16.6790,0.8807
439,16.6867,0.8665
440,16.6715,0.8484
441,16.6783,0.8750
442,16.6667,0.8594
443,16.6783,0.8488
444,16.6945,0.8420
445,16.6827,0.8355
446,16.6794,0.8267
447,16.7079,0.8557
448,16.6391,0.8865
449,16.6930,0.8511
450,16.6818,0.8616
451,16.6774,0.8619
452,16.6784,0.8703
453,16.6842,0.8746
454,16.6715,0.8505
455,16.6935,0.8458
456,16.6668,0.8346
457,16.6898,0.8405
458,16.6821,0.8299
459,16.6580,0.8714
460,16.6890,0.8465
461,16.6870,0.8672
462,16.6867,0.8429
463,16.6763,0.8531
464,16.6747,0.8358
465,16.6790,0.8482
466,16.6775,0.8565
467,16.6993,0.8478
468,16.6694,0.8489
469,16.6794,0.8507
470,16.6823,0.8327
471,16.6844,0.8610
472,16.6705,0.8546
473,16.6874,0.8271
474,16.6811,0.8533
475,16.6803,0.8567
476,16.6790,0.8779
477,16.6777,0.8557
478,16.6787,0.8678
479,16.6890,0.8828
480,16.6789,0.8340
481,16.6845,0.8559
482,16.6947,1.0178
483,16.6653,0.8913
484,16.6672,0.9342
485,16.7062,1.0677
486,16.6701,1.1217
487,16.6705,1.4770
488,16.6711,2.1567
489,16.6868,2.1799
490,16.6794,3.1043
491,16.6804,3.1123
492,16.6855,3.1056
493,16.7178,3.2031
494,16.6539,3.1021
495,16.6727,3.1082
496,16.7065,1.9005
497,16.6598,1.0169
498,16.6715,0.9901
499,16.6852,1.1294
500,16.6939,1.2847
501,16.6796,1.7035
502,16.6524,1.3508
503,16.7130,2.7098
504,16.6730,2.5762
505,16.6723,2.5484
506,16.6706,3.1487
507,16.6972,3.1041
508,16.7472,3.1061
509,16.5837,3.1074
510,16.6881,1.6656
511,16.7220,1.0552
512,16.6602,1.0320
513,16.6694,1.2739
514,16.6741,1.1628
515,16.6693,2.1129
516,16.7013,1.4128
517,16.7050,2.5432
518,16.6758,2.7705
519,16.6799,2.7894
520,16.6555,2.9034
521,16.6961,2.8745
522,16.6687,1.5699
523,16.6677,1.1832
524,16.7287,1.0602
525,16.6835,1.3366
526,16.6256,1.2478
527,16.6791,1.3636
528,16.7450,1.5418
529,16.6313,2.0614
530,16.7090,2.5421
531,16.6437,3.2370
532,16.7340,3.1834
533,16.6315,3.1569
534,16.7110,3.1906
535,16.6399,3.1741
536,16.6827,1.4363
537,16.6701,1.2321
538,16.7099,1.0888
539,16.6646,1.1660
540,16.6835,1.2263
541,16.6798,1.4234
542,16.6748,1.5236
543,16.6838,1.8219
544,16.6800,3.4373
545,16.6879,2.7844
546,16.6859,3.1064
